Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage XII  Final Inspection and attending of leftover work,UF0900,TRC (AC Track recording Car),2022-05-11 01:30:00,2022-05-11 03:55:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,TRC (AC Track recording Car),2022-05-10 20:20:00,2022-05-11 04:35:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0200,TRC (AC Track recording Car),2022-05-11 04:35:00,2022-05-11 06:35:00,['Shell Assembly'],['Coach'],1
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWACCN (AC-3Tier),2022-05-11 01:30:00,2022-05-11 08:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWACCN (AC-3Tier),2022-05-11 03:40:00,2022-05-11 08:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWACCN (AC-3Tier),2022-05-11 08:20:00,2022-05-11 10:25:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWS (Antyodaya Coach),2022-05-11 03:40:00,2022-05-11 10:45:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0120,TRC (AC Track recording Car),2022-05-11 03:55:00,2022-05-11 12:10:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],1
Stage-II Final Repair & Leakage testing,SH0200,TRC (AC Track recording Car),2022-05-11 12:10:00,2022-05-11 14:10:00,['Shell Assembly'],['Coach'],2
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWACCN (AC-3Tier),2022-05-11 08:20:00,2022-05-11 15:10:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWS (Antyodaya Coach),2022-05-11 10:45:00,2022-05-11 15:40:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage XII  Final Inspection and attending of leftover work,UF0900,LWACCN (AC-3Tier),2022-05-11 15:10:00,2022-05-11 17:15:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWACCN (AC-3Tier),2022-05-11 10:25:00,2022-05-11 18:05:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0200,LWACCN (AC-3Tier),2022-05-11 18:05:00,2022-05-11 20:30:00,['Shell Assembly'],['Coach'],1
Stage IX Attending of leftover work and rectification of weld defects,UF0700,LWS (Antyodaya Coach),2022-05-11 15:40:00,2022-05-11 23:00:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0120,LWACCN (AC-3Tier),2022-05-11 17:15:00,2022-05-12 00:55:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],1
Stage XII  Final Inspection and attending of leftover work,UF0900,LWS (Antyodaya Coach),2022-05-11 23:00:00,2022-05-12 01:05:00,"['Underframe frame work with corrugated sheet', 'Underframe Welding Parts', 'Supporting Members']",['Underframe Complete'],0
Stage-II Final Repair & Leakage testing,SH0200,LWACCN (AC-3Tier),2022-05-12 00:55:00,2022-05-12 03:20:00,['Shell Assembly'],['Coach'],2
Stage-I Robotic Shell AssemblyLine at 22.2.1 (JIG I & II ),SH0110,LWS (Antyodaya Coach),2022-05-12 01:05:00,2022-05-12 09:00:00,"['Side wall Left complete', 'End wall Complete', 'Roof Complete', 'Underframe Complete']",['Shell Assembly'],0
Stage-II Final Repair & Leakage testing,SH0200,LWS (Antyodaya Coach),2022-05-12 09:00:00,2022-05-12 11:25:00,['Shell Assembly'],['Coach'],1
